time,missile_x,missile_y,missile_z,drone_x,drone_y,drone_z,bomb_x,bomb_y,bomb_z,cloud_x,cloud_y,cloud_z,is_shielded,shield_distance,projection_u
25.080000000000002,12513.340180860043,0.0,1251.334018086004,14790.4,0.0,1800.0,14790.4,0.0,-924.4803600000005,17188.0,0.0,1676.556,False,4693.959752552687,-0.37314547472289944
25.09,12510.355069289413,0.0,1251.0355069289412,14789.2,0.0,1800.0,14789.2,0.0,-926.7916900000005,17188.0,0.0,1676.526,False,4696.95691458803,-0.37347277991776107
25.1,12507.369957718784,0.0,1250.7369957718784,14788.0,0.0,1800.0,14788.0,0.0,-929.1040000000003,17188.0,0.0,1676.496,False,4699.9540766253,-0.3738002412574818
25.11,12504.384846148154,0.0,1250.4384846148155,14786.8,0.0,1800.0,14786.8,0.0,-931.4172900000003,,,,False,,
25.12,12501.399734577524,0.0,1250.1399734577521,14785.6,0.0,1800.0,14785.6,0.0,-933.7315600000002,,,,False,,
25.13,12498.414623006895,0.0,1249.8414623006893,14784.4,0.0,1800.0,14784.4,0.0,-936.0468100000003,,,,False,,
25.14,12495.429511436263,0.0,1249.5429511436264,14783.2,0.0,1800.0,14783.2,0.0,-938.3630400000002,,,,False,,
25.150000000000002,12492.444399865632,0.0,1249.2444399865633,14782.0,0.0,1800.0,14782.0,0.0,-940.6802500000008,,,,False,,
25.16,12489.459288295004,0.0,1248.9459288295002,14780.8,0.0,1800.0,14780.8,0.0,-942.9984400000003,,,,False,,
25.17,12486.474176724372,0.0,1248.6474176724373,14779.6,0.0,1800.0,14779.6,0.0,-945.3176100000005,,,,False,,
25.18,12483.489065153743,0.0,1248.3489065153744,14778.4,0.0,1800.0,14778.4,0.0,-947.6377600000001,,,,False,,
25.19,12480.503953583113,0.0,1248.0503953583113,14777.2,0.0,1800.0,14777.2,0.0,-949.9588900000008,,,,False,,
25.2,12477.518842012483,0.0,1247.7518842012482,14776.0,0.0,1800.0,14776.0,0.0,-952.281,,,,False,,
25.21,12474.533730441854,0.0,1247.4533730441854,14774.8,0.0,1800.0,14774.8,0.0,-954.6040900000007,,,,False,,
25.22,12471.548618871224,0.0,1247.1548618871225,14773.6,0.0,1800.0,14773.6,0.0,-956.9281599999999,,,,False,,
25.23,12468.563507300594,0.0,1246.8563507300594,14772.4,0.0,1800.0,14772.4,0.0,-959.2532099999999,,,,False,,
25.240000000000002,12465.578395729963,0.0,1246.5578395729963,14771.2,0.0,1800.0,14771.2,0.0,-961.5792400000005,,,,False,,
25.25,12462.593284159335,0.0,1246.2593284159334,14770.0,0.0,1800.0,14770.0,0.0,-963.90625,,,,False,,
25.26,12459.608172588703,0.0,1245.9608172588703,14768.8,0.0,1800.0,14768.8,0.0,-966.2342400000007,,,,False,,
25.27,12456.623061018074,0.0,1245.6623061018074,14767.6,0.0,1800.0,14767.6,0.0,-968.5632099999998,,,,False,,
25.28,12453.637949447442,0.0,1245.3637949447443,14766.4,0.0,1800.0,14766.4,0.0,-970.8931600000005,,,,False,,
25.29,12450.652837876814,0.0,1245.0652837876814,14765.2,0.0,1800.0,14765.2,0.0,-973.2240899999997,,,,False,,
25.3,12447.667726306183,0.0,1244.7667726306183,14764.0,0.0,1800.0,14764.0,0.0,-975.5560000000005,,,,False,,
25.310000000000002,12444.682614735553,0.0,1244.4682614735552,14762.8,0.0,1800.0,14762.8,0.0,-977.8888900000011,,,,False,,
25.32,12441.697503164924,0.0,1244.1697503164924,14761.6,0.0,1800.0,14761.6,0.0,-980.2227600000006,,,,False,,
25.330000000000002,12438.712391594294,0.0,1243.8712391594295,14760.4,0.0,1800.0,14760.4,0.0,-982.5576100000003,,,,False,,
25.34,12435.727280023664,0.0,1243.5727280023664,14759.2,0.0,1800.0,14759.2,0.0,-984.8934400000003,,,,False,,
25.35,12432.742168453035,0.0,1243.2742168453033,14758.0,0.0,1800.0,14758.0,0.0,-987.2302500000005,,,,False,,
25.36,12429.757056882405,0.0,1242.9757056882404,14756.8,0.0,1800.0,14756.8,0.0,-989.5680400000001,,,,False,,
25.37,12426.771945311773,0.0,1242.6771945311775,14755.6,0.0,1800.0,14755.6,0.0,-991.9068100000004,,,,False,,
25.38,12423.786833741146,0.0,1242.3786833741144,14754.4,0.0,1800.0,14754.4,0.0,-994.2465599999996,,,,False,,
25.39,12420.801722170514,0.0,1242.0801722170513,14753.2,0.0,1800.0,14753.2,0.0,-996.5872900000004,,,,False,,
25.400000000000002,12417.816610599883,0.0,1241.7816610599884,14752.0,0.0,1800.0,14752.0,0.0,-998.929000000001,,,,False,,
25.41,12414.831499029253,0.0,1241.4831499029256,14750.8,0.0,1800.0,14750.8,0.0,-1001.27169,,,,False,,
25.42,12411.846387458623,0.0,1241.1846387458622,14749.6,0.0,1800.0,14749.6,0.0,-1003.6153600000007,,,,False,,
25.43,12408.861275887994,0.0,1240.8861275887994,14748.4,0.0,1800.0,14748.4,0.0,-1005.9600100000002,,,,False,,
25.44,12405.876164317364,0.0,1240.5876164317365,14747.2,0.0,1800.0,14747.2,0.0,-1008.30564,,,,False,,
25.45,12402.891052746734,0.0,1240.2891052746736,14746.0,0.0,1800.0,14746.0,0.0,-1010.6522500000001,,,,False,,
25.46,12399.905941176105,0.0,1239.9905941176103,14744.8,0.0,1800.0,14744.8,0.0,-1012.9998400000009,,,,False,,
25.47,12396.920829605475,0.0,1239.6920829605474,14743.6,0.0,1800.0,14743.6,0.0,-1015.3484100000001,,,,False,,
25.48,12393.935718034845,0.0,1239.3935718034845,14742.4,0.0,1800.0,14742.4,0.0,-1017.69796,,,,False,,
25.490000000000002,12390.950606464214,0.0,1239.0950606464214,14741.2,0.0,1800.0,14741.2,0.0,-1020.0484900000006,,,,False,,
25.5,12387.965494893584,0.0,1238.7965494893583,14740.0,0.0,1800.0,14740.0,0.0,-1022.4000000000001,,,,False,,
25.51,12384.980383322954,0.0,1238.4980383322954,14738.8,0.0,1800.0,14738.8,0.0,-1024.7524900000008,,,,False,,
25.52,12381.995271752325,0.0,1238.1995271752326,14737.6,0.0,1800.0,14737.6,0.0,-1027.1059599999999,,,,False,,
